model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
EcoTemporalNet,42,spatial_test,2026,262,0,0.0,,4.014189875362861e-05,0.0023213514822812485,,,0.0
EcoFusion,42,test,2020,366,43,0.11748633879781421,0.7112837283967215,0.06487056695877101,0.060532243446629705,0.8735690114479083,0.6046511627906976,0.7027027027027027
EcoFusion,42,test,2021,1294,124,0.09582689335394126,0.43396011223085795,0.06738889883711566,0.024540835443273446,0.8555141990625861,0.5161290322580645,0.49230769230769234
EcoFusion,42,test,2022,63,6,0.09523809523809523,0.85515873015873,0.03146073539165049,0.04460672865321509,0.9824561403508771,0.8333333333333334,0.7142857142857143
EcoFusion,42,test,2023,70,10,0.14285714285714285,0.5241287878787878,0.09240828872346163,0.07914067616241527,0.9183333333333333,0.4,0.5714285714285714
EcoFusion,42,test,2024,1679,39,0.023228111971411555,0.2909721053304324,0.020156574670841126,0.012032353861909553,0.9414790494058787,0.7435897435897436,0.17261904761904762
EcoFusion,42,test,2025,1882,29,0.015409139213602551,0.19639655373961737,0.015672898947305357,0.01041339752894208,0.9494575432197555,0.8620689655172413,0.13227513227513227
EcoFusion,42,test,2026,1656,1,0.0006038647342995169,0.16666666666666666,0.0011714723267664503,0.004382531524780346,0.9969788519637462,1.0,0.006024096385542169
EcoFusion,42,spatial_test,2020,85,0,0.0,,0.00010503625487927865,0.006180205228037709,,,0.0
EcoFusion,42,spatial_test,2021,288,16,0.05555555555555555,0.2861587240036849,0.049861585363938914,0.03351352404270991,0.8352481617647058,0.375,0.20689655172413793
EcoFusion,42,spatial_test,2022,26,2,0.07692307692307693,0.75,0.04137526073865227,0.0808518693523319,0.9583333333333333,0.5,0.3333333333333333
EcoFusion,42,spatial_test,2023,35,4,0.11428571428571428,0.8041666666666667,0.04330959716978,0.09616529968789349,0.9758064516129032,0.75,0.75
EcoFusion,42,spatial_test,2024,394,15,0.03807106598984772,0.3824789570408754,0.030977889947313725,0.027695173001459242,0.961301671064204,0.8666666666666667,0.325
EcoFusion,42,spatial_test,2025,378,7,0.018518518518518517,0.6736652236652236,0.011112871025222517,0.005803189816186206,0.9822872545244512,1.0,0.18421052631578946
EcoFusion,42,spatial_test,2026,262,0,0.0,,4.2784443562158265e-05,0.002352491327763593,,,0.0
EcoTemporalNet,42,missing20,0,7010,252,0.035948644793152636,0.3332242816764431,0.0297028928018493,0.01620200555154737,0.8952346895155419,0.6865079365079365,0.24679029957203993
EcoTemporalNet,42,noise01,0,7010,252,0.035948644793152636,0.3884306591235236,0.02657075678643703,0.009065952584159858,0.9132726879841411,0.7579365079365079,0.2724679029957204
Seasonal,42,observed_high_temperature,0,510,1,0.00196078431372549,0.03125,0.001900380179030339,1.6681774036203566e-05,0.9695481335952849,1.0,0.0196078431372549
Persistence,42,observed_high_temperature,0,510,1,0.00196078431372549,0.00196078431372549,0.0029212355916877534,0.011322651049563141,0.49901768172888017,0.0,0.0
Logistic,42,observed_high_temperature,0,510,1,0.00196078431372549,0.008849557522123894,0.003010571674569344,0.004718239058526235,0.7799607072691552,0.0,0.0
RandomForest,42,observed_high_temperature,0,510,1,0.00196078431372549,0.015873015873015872,0.0037881730682403645,0.0035819688204400298,0.8781925343811395,0.0,0.0
HistGradientBoosting,42,observed_high_temperature,0,510,1,0.00196078431372549,0.02857142857142857,0.004090458681398658,0.003521827196362854,0.9332023575638506,1.0,0.0196078431372549
EcoTemporalNet,42,observed_high_temperature,0,510,1,0.00196078431372549,0.02040816326530612,0.0038794724325838664,0.008114396278774316,0.9056974459724951,1.0,0.0196078431372549
EcoFusion,42,observed_high_temperature,0,510,1,0.00196078431372549,0.022727272727272728,0.003932997781540462,0.005614866104752816,0.9155206286836935,1.0,0.0196078431372549
Seasonal,73,test,2020,366,43,0.11748633879781421,0.11491787169835636,0.14477500059693263,0.22953300715151337,0.23741810065519475,0.0,0.0
