model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
HistGradientBoosting,73,test,2025,51,18,0.35294117647058826,0.7067458954083045,0.18646896662173273,0.07852973654037072,0.7575757575757575,0.2777777777777778,0.8333333333333334
EcoTemporalNet,73,test,2020,52,10,0.19230769230769232,0.372022304725308,0.14447667590661561,0.07571105519292225,0.669047619047619,0.3,0.5
EcoTemporalNet,73,test,2021,52,20,0.38461538461538464,0.8261902846549586,0.13444015484866542,0.11369179844866666,0.8796875,0.25,0.8333333333333334
EcoTemporalNet,73,test,2022,52,9,0.17307692307692307,0.46958149874816535,0.12578961183360965,0.130048941420721,0.7183462532299741,0.4444444444444444,0.6666666666666666
EcoTemporalNet,73,test,2023,53,16,0.3018867924528302,0.5436651885638826,0.18971569953054046,0.1193147662998362,0.6824324324324325,0.25,0.6666666666666666
EcoTemporalNet,73,test,2024,52,18,0.34615384615384615,0.6560303004641191,0.19163071131581758,0.1431171757104478,0.7761437908496731,0.2777777777777778,0.8333333333333334
EcoTemporalNet,73,test,2025,51,18,0.35294117647058826,0.6299900267277614,0.19913286873148578,0.09487612985760638,0.7222222222222222,0.2777777777777778,0.8333333333333334
EcoFusion,73,test,2020,52,10,0.19230769230769232,0.372022304725308,0.1444766743874562,0.07571105470253538,0.669047619047619,0.3,0.5
EcoFusion,73,test,2021,52,20,0.38461538461538464,0.8261902846549586,0.13444015591795913,0.11369180023471659,0.8796875,0.25,0.8333333333333334
EcoFusion,73,test,2022,52,9,0.17307692307692307,0.46958149874816535,0.12578960990455998,0.1300489415580071,0.7183462532299741,0.4444444444444444,0.6666666666666666
EcoFusion,73,test,2023,53,16,0.3018867924528302,0.5436651885638826,0.18971569994728923,0.11931476733163691,0.6824324324324325,0.25,0.6666666666666666
EcoFusion,73,test,2024,52,18,0.34615384615384615,0.6560303004641191,0.19163070942315616,0.14311717719444242,0.7761437908496731,0.2777777777777778,0.8333333333333334
EcoFusion,73,test,2025,51,18,0.35294117647058826,0.6299900267277614,0.19913286981954384,0.09487612976240253,0.7222222222222222,0.2777777777777778,0.8333333333333334
Chronos,73,test,2020,52,10,0.19230769230769232,0.33562271062271065,0.1482384341228527,0.030373891449089696,0.5452380952380952,0.2,0.3333333333333333
Chronos,73,test,2021,52,20,0.38461538461538464,0.6195406694913275,0.19072954316663251,0.1253568495722084,0.77109375,0.2,0.6666666666666666
Chronos,73,test,2022,52,9,0.17307692307692307,0.3929789346456013,0.12794456910055277,0.12505530958988145,0.7364341085271318,0.3333333333333333,0.5
Chronos,73,test,2023,53,16,0.3018867924528302,0.4666953791775889,0.20294012807140957,0.05161133626173029,0.6241554054054054,0.1875,0.5
